backbone,condition,sample_id,label,x,y
resnet50,baseline,2937,0,29.227052688598633,40.4050178527832
resnet50,baseline,2210,0,32.83597183227539,25.48346519470215
resnet50,baseline,4533,0,37.551944732666016,21.58209228515625
resnet50,baseline,5067,0,20.59145736694336,31.367700576782227
resnet50,baseline,3488,0,30.618810653686523,24.82048225402832
resnet50,baseline,808,0,30.887781143188477,27.006319046020508
resnet50,baseline,298,0,32.860416412353516,30.312089920043945
resnet50,baseline,6817,0,31.113428115844727,48.72271728515625
resnet50,baseline,597,0,39.56732940673828,21.073314666748047
resnet50,baseline,339,0,17.559803009033203,40.4681510925293
resnet50,baseline,241,0,27.22482681274414,36.739280700683594
resnet50,baseline,6420,0,30.232688903808594,39.48342514038086
resnet50,baseline,422,0,37.465843200683594,22.27353286743164
resnet50,baseline,7782,0,20.344337463378906,42.654273986816406
resnet50,baseline,7869,0,18.953933715820312,42.41908264160156
resnet50,baseline,5999,0,25.468894958496094,38.79092025756836
resnet50,baseline,7975,0,21.067962646484375,42.94150924682617
resnet50,baseline,7101,0,29.93642807006836,48.32818603515625
resnet50,baseline,6762,0,24.149051666259766,41.18864822387695
resnet50,baseline,3999,0,39.54774475097656,0.1338961273431778
resnet50,baseline,5255,0,24.78203582763672,36.97454833984375
resnet50,baseline,5276,0,28.17165756225586,35.69490432739258
resnet50,baseline,7165,0,29.23698616027832,47.688377380371094
resnet50,baseline,5624,0,29.368196487426758,47.244972229003906
resnet50,baseline,480,0,28.343128204345703,47.44773864746094
resnet50,baseline,4819,0,32.45117950439453,31.809444427490234
resnet50,baseline,7334,0,29.692535400390625,36.28657531738281
resnet50,baseline,6065,0,20.73758316040039,45.3155517578125
resnet50,baseline,5785,0,28.592464447021484,36.75017547607422
resnet50,baseline,359,0,30.856197357177734,26.111360549926758
resnet50,baseline,4045,0,38.707481384277344,22.32267189025879
resnet50,baseline,7128,0,26.252927780151367,44.39589309692383
resnet50,baseline,7260,0,37.74236297607422,23.040271759033203
resnet50,baseline,3151,0,22.48143196105957,43.891990661621094
resnet50,baseline,1463,0,20.29161834716797,44.301029205322266
resnet50,baseline,5068,0,37.797218322753906,19.8890380859375
resnet50,baseline,3759,0,21.46187400817871,47.972904205322266
resnet50,baseline,6500,0,20.302051544189453,46.004119873046875
resnet50,baseline,1548,0,31.473957061767578,33.68153762817383
resnet50,baseline,728,0,20.729272842407227,46.97970962524414
resnet50,baseline,5711,0,31.761445999145508,18.664531707763672
resnet50,baseline,1977,0,22.222707748413086,42.42277526855469
resnet50,baseline,3285,0,39.40467834472656,21.818315505981445
resnet50,baseline,6429,0,20.41571807861328,42.9525260925293
resnet50,baseline,60,0,21.628782272338867,47.728267669677734
resnet50,baseline,3397,0,28.769004821777344,47.10342788696289
resnet50,baseline,7430,0,30.63150405883789,33.76838302612305
resnet50,baseline,4982,0,36.8937873840332,19.637428283691406
resnet50,baseline,752,0,29.394956588745117,43.868167877197266
resnet50,baseline,4151,0,27.21662139892578,25.6676025390625
resnet50,baseline,5093,1,-5.967008590698242,27.699466705322266
resnet50,baseline,4709,1,-3.0470151901245117,34.300941467285156
resnet50,baseline,3530,1,-2.336045742034912,32.9133415222168
resnet50,baseline,6068,1,-7.8443284034729,28.64000129699707
resnet50,baseline,2673,1,-5.594411373138428,31.013427734375
resnet50,baseline,3161,1,-1.092346429824829,24.81344985961914
resnet50,baseline,3254,1,-0.05359552055597305,22.640676498413086
resnet50,baseline,7217,1,7.3527703285217285,25.474843978881836
resnet50,baseline,5546,1,10.793572425842285,16.776323318481445
resnet50,baseline,6498,1,-19.977706909179688,16.486377716064453
resnet50,baseline,5425,1,11.581345558166504,18.60129737854004
resnet50,baseline,3537,1,-1.7228834629058838,31.5958309173584
resnet50,baseline,463,1,-10.724405288696289,15.653003692626953
resnet50,baseline,4733,1,-14.014823913574219,20.825590133666992
